feature,mean_abs_shap
active_subscription_ratio,0.025221325561435443
error_rate,0.018205981749382597
industry_DevTools,0.016530585318590033
avg_first_response_time_minutes,0.013915742241102043
days_since_last_usage,0.013753399141648404
recent_upgrade_90d,0.013538552666185755
max_sub_seats,0.012359534547557536
error_per_subscription,0.011832604441998018
health_score,0.011069679088640445
usage_per_subscription,0.010885420466392091
avg_arr_amount,0.010759145273005786
avg_mrr_amount,0.010584351645553167
account_age_days,0.010188658361425785
total_usage_count,0.009663627029672895
total_arr_amount,0.009350412601791024
avg_resolution_time_hours,0.009312657292839394
avg_sub_seats,0.009195371096649278
max_mrr_amount,0.0090218556376897
max_subscription_duration_days,0.008862180546237325
industry_Cybersecurity,0.008498920607406469
upgrade_count,0.008335266597457437
ended_subscriptions_count,0.00823356424001503
avg_subscription_duration_days,0.008185514976776347
days_since_last_subscription_change,0.007807450000676629
unique_feature_count,0.0073490771765604935
auto_renew_ratio,0.007115644724426008
seats,0.007073698244547522
recent_downgrade_90d,0.007054348735798715
total_error_count,0.00686649169615897
avg_satisfaction_score,0.0068620325249151345
beta_feature_usage_count,0.0064742301667576755
ticket_per_subscription,0.006401442092046981
total_usage_duration_secs,0.006385308820045049
country_US,0.006318532524930905
total_tickets,0.00566924417954044
active_subscriptions,0.005151321902812779
total_subscriptions,0.004612692908615308
referral_source_organic,0.004561827408893822
trial_subscription_count,0.004065546878516768
auto_renew_count,0.003909330342763665
industry_EdTech,0.0034003119362716527
country_AU,0.002845879214556811
latest_plan_tier_Enterprise,0.0027130393145811667
latest_plan_tier_Basic,0.0024994247689731695
country_UK,0.0024173360243918236
referral_source_ads,0.002295412135061742
latest_is_trial,0.0021798529686735822
referral_source_event,0.0021330564218909913
plan_tier_Basic,0.002031184464824471
country_IN,0.001940890914627557
escalation_ratio,0.0019311418235014035
referral_source_partner,0.0016686023341788382
is_trial,0.0016230126266293847
referral_source_other,0.001498208550101258
latest_billing_frequency_monthly,0.0013340281664515547
latest_billing_frequency_annual,0.0013196595448368232
plan_tier_Pro,0.0012828233442661048
downgrade_count,0.0011389339226220263
latest_plan_tier_Pro,0.001022243776110963
industry_HealthTech,0.0010123536874847188
avg_satisfaction_score_missing_flag,0.000814903196672561
plan_tier_Enterprise,0.000782912071333263
industry_FinTech,0.0007728085038978275
escalation_count,0.0005244222826819249
latest_auto_renew_flag,0.0004622316714348972
country_FR,0.0003897373745747771
country_DE,0.0002457267649334473
avg_resolution_time_hours_missing_flag,0.00018527923182509672
country_CA,0.00017139923458657817
avg_first_response_time_minutes_missing_flag,0.00010744031636085741
is_inactive_user,0.0
has_no_ticket_history,0.0
