feature,importance
error_rate,0.045166515985075414
error_per_subscription,0.03451586501389821
max_sub_seats,0.03421971091043221
days_since_last_usage,0.0325422144319888
active_subscription_ratio,0.032466831956308
avg_first_response_time_minutes,0.031450308454885584
avg_arr_amount,0.03127190096563078
avg_mrr_amount,0.030975212982702168
usage_per_subscription,0.030328580756629014
health_score,0.029912956154602332
avg_resolution_time_hours,0.029668674738539038
max_subscription_duration_days,0.028430952579295874
avg_sub_seats,0.02785309725036474
total_arr_amount,0.027432059606548376
total_usage_count,0.0272355506671962
account_age_days,0.027230852995409217
days_since_last_subscription_change,0.026611485011527245
max_mrr_amount,0.02540723533705375
avg_subscription_duration_days,0.024679735333479738
seats,0.02283938105038052
unique_feature_count,0.02272772405632148
total_usage_duration_secs,0.022086146788168788
avg_satisfaction_score,0.02200425690284177
total_error_count,0.02200288009942537
ticket_per_subscription,0.020892466868217833
auto_renew_ratio,0.0208471527523318
beta_feature_usage_count,0.016295784184724812
active_subscriptions,0.015685736316273197
total_subscriptions,0.015664854765579116
industry_DevTools,0.0152412597099225
total_tickets,0.014791134666970174
auto_renew_count,0.014335988144101343
recent_upgrade_90d,0.013249148396624904
ended_subscriptions_count,0.013077411417356292
upgrade_count,0.012967201286629627
trial_subscription_count,0.010510003995197166
industry_Cybersecurity,0.009651207268270635
recent_downgrade_90d,0.009135112815095556
country_US,0.007292854020658058
plan_tier_Basic,0.005855413660944199
referral_source_organic,0.005543053282070452
latest_plan_tier_Basic,0.005359313213617568
industry_EdTech,0.005137419845591605
country_AU,0.004904441090461137
latest_plan_tier_Enterprise,0.004743003716939235
is_trial,0.004449051103943618
referral_source_ads,0.004443731867647171
escalation_ratio,0.004238875575637801
referral_source_other,0.004225588955461739
referral_source_event,0.0041668783822374255
latest_is_trial,0.004077567946240142
latest_billing_frequency_monthly,0.004021084233409741
latest_billing_frequency_annual,0.003893022046340402
country_UK,0.0038715468529340958
downgrade_count,0.003845974299788691
plan_tier_Pro,0.0038146313952904984
latest_plan_tier_Pro,0.003699886637357027
referral_source_partner,0.003133449257707598
country_IN,0.0026376926558384474
industry_FinTech,0.002579316401594499
industry_HealthTech,0.0023756204870398518
plan_tier_Enterprise,0.0022361444419600387
latest_auto_renew_flag,0.0020331170368870547
escalation_count,0.0018186229183397133
avg_satisfaction_score_missing_flag,0.0014076176183218088
country_DE,0.0008771496629459298
avg_resolution_time_hours_missing_flag,0.0006155682813556885
country_FR,0.0005834794242290802
avg_first_response_time_minutes_missing_flag,0.0004314650742666803
country_CA,0.000282825996943317
is_inactive_user,0.0
has_no_ticket_history,0.0
