fpr,tpr,threshold
0.0,0.0,inf
0.0,0.058823529411764705,0.9613445876181932
0.22413793103448276,0.058823529411764705,0.6854797559615391
0.22413793103448276,0.11764705882352941,0.6850186451026702
0.27586206896551724,0.11764705882352941,0.6565741048436753
0.27586206896551724,0.17647058823529413,0.6411314455803037
0.5172413793103449,0.17647058823529413,0.4465749939332594
0.5172413793103449,0.23529411764705882,0.44281974985326816
0.5517241379310345,0.23529411764705882,0.39627627798523446
0.5517241379310345,0.29411764705882354,0.38943429609920444
0.5862068965517241,0.29411764705882354,0.3575588459920082
0.5862068965517241,0.4117647058823529,0.3431391466116975
0.7068965517241379,0.4117647058823529,0.2104876905124124
0.7068965517241379,0.5294117647058824,0.2005899967914765
0.7758620689655172,0.5294117647058824,0.1860689586072921
0.7758620689655172,0.5882352941176471,0.17470897930935475
0.8620689655172413,0.5882352941176471,0.12502275106995928
0.8620689655172413,0.6470588235294118,0.12251054809259819
0.8793103448275862,0.6470588235294118,0.12233149170081806
0.8793103448275862,0.7058823529411765,0.1157604819620793
0.896551724137931,0.7058823529411765,0.11344369340131333
0.896551724137931,0.7647058823529411,0.11252756262456122
0.9482758620689655,0.7647058823529411,0.0843492459570519
0.9482758620689655,0.8235294117647058,0.08216171609733854
0.9827586206896551,0.8235294117647058,0.07019826497696845
0.9827586206896551,1.0,0.029821965773108097
1.0,1.0,0.014493560419029359
