model,accuracy,precision,recall,f1,roc_auc
DL_MLP,0.7866666666666666,0.0,0.0,0.0,0.4322033898305085
random_forest,0.2266666666666666,0.2266666666666666,1.0,0.3695652173913043,0.3975659229208925
logistic_regression,0.24,0.1969696969696969,0.7647058823529411,0.3132530120481928,0.3255578093306288
