threshold,precision,recall,f1
0.1,0.22666666666666666,1.0,0.3695652173913043
0.15000000000000002,0.2,0.8235294117647058,0.3218390804597701
0.20000000000000004,0.17307692307692307,0.5294117647058824,0.2608695652173913
0.25000000000000006,0.23529411764705882,0.47058823529411764,0.3137254901960784
0.30000000000000004,0.21739130434782608,0.29411764705882354,0.25
0.3500000000000001,0.1,0.058823529411764705,0.07407407407407407
0.40000000000000013,0.0,0.0,0.0
0.4500000000000001,0.0,0.0,0.0
0.5000000000000001,0.0,0.0,0.0
0.5500000000000002,0.0,0.0,0.0
0.6000000000000002,0.0,0.0,0.0
0.6500000000000001,0.0,0.0,0.0
0.7000000000000002,0.0,0.0,0.0
0.7500000000000002,0.0,0.0,0.0
0.8000000000000003,0.0,0.0,0.0
0.8500000000000003,0.0,0.0,0.0
0.9000000000000002,0.0,0.0,0.0
