fpr,tpr,threshold
0.0,0.0,inf
0.017241379310344827,0.0,0.45569983231561867
0.06896551724137931,0.0,0.3992428430373961
0.06896551724137931,0.058823529411764705,0.3910666347981062
0.22413793103448276,0.058823529411764705,0.3294264785277759
0.22413793103448276,0.17647058823529413,0.3226127134363766
0.25862068965517243,0.17647058823529413,0.3201758517101656
0.25862068965517243,0.23529411764705882,0.31417796197974934
0.3103448275862069,0.23529411764705882,0.3061326283674861
0.3103448275862069,0.29411764705882354,0.301414240732447
0.3448275862068966,0.29411764705882354,0.2896387222827263
0.3448275862068966,0.35294117647058826,0.28831491425216516
0.3620689655172414,0.35294117647058826,0.28680719907483354
0.3620689655172414,0.4117647058823529,0.2811243634534744
0.39655172413793105,0.4117647058823529,0.27119532801290636
0.39655172413793105,0.47058823529411764,0.2606026481661332
0.6379310344827587,0.47058823529411764,0.220611659656472
0.6379310344827587,0.5294117647058824,0.2171438469352444
0.7586206896551724,0.5294117647058824,0.19965332086084275
0.7586206896551724,0.5882352941176471,0.19500257066994087
0.8275862068965517,0.5882352941176471,0.19314691777529341
0.8275862068965517,0.6470588235294118,0.18466828563717463
0.9482758620689655,0.6470588235294118,0.17507247791479902
0.9482758620689655,0.7058823529411765,0.17435585428382172
0.9655172413793104,0.7058823529411765,0.17136100219008207
0.9655172413793104,0.8823529411764706,0.14725449750827183
0.9827586206896551,0.8823529411764706,0.12805209637745144
0.9827586206896551,0.9411764705882353,0.1182178281250751
1.0,0.9411764705882353,0.11477567378875042
1.0,1.0,0.11454971840251846
