precision,recall
0.22666666666666666,1.0
0.22972972972972974,1.0
0.2191780821917808,0.9411764705882353
0.20833333333333334,0.8823529411764706
0.19718309859154928,0.8235294117647058
0.2,0.8235294117647058
0.2028985507246377,0.8235294117647058
0.19117647058823528,0.7647058823529411
0.19402985074626866,0.7647058823529411
0.19696969696969696,0.7647058823529411
0.2,0.7647058823529411
0.1875,0.7058823529411765
0.19047619047619047,0.7058823529411765
0.1774193548387097,0.6470588235294118
0.18032786885245902,0.6470588235294118
0.16666666666666666,0.5882352941176471
0.1694915254237288,0.5882352941176471
0.1724137931034483,0.5882352941176471
0.17543859649122806,0.5882352941176471
0.17857142857142858,0.5882352941176471
0.18181818181818182,0.5882352941176471
0.16666666666666666,0.5294117647058824
0.16981132075471697,0.5294117647058824
0.17307692307692307,0.5294117647058824
0.17647058823529413,0.5294117647058824
0.18,0.5294117647058824
0.16326530612244897,0.47058823529411764
0.14583333333333334,0.4117647058823529
0.14893617021276595,0.4117647058823529
0.15217391304347827,0.4117647058823529
0.15555555555555556,0.4117647058823529
0.1590909090909091,0.4117647058823529
0.16279069767441862,0.4117647058823529
0.16666666666666666,0.4117647058823529
0.17073170731707318,0.4117647058823529
0.15,0.35294117647058826
0.1282051282051282,0.29411764705882354
0.13157894736842105,0.29411764705882354
0.13513513513513514,0.29411764705882354
0.1111111111111111,0.23529411764705882
0.11428571428571428,0.23529411764705882
0.11764705882352941,0.23529411764705882
0.09090909090909091,0.17647058823529413
0.09375,0.17647058823529413
0.0967741935483871,0.17647058823529413
0.1,0.17647058823529413
0.10344827586206896,0.17647058823529413
0.10714285714285714,0.17647058823529413
0.1111111111111111,0.17647058823529413
0.11538461538461539,0.17647058823529413
0.12,0.17647058823529413
0.125,0.17647058823529413
0.13043478260869565,0.17647058823529413
0.13636363636363635,0.17647058823529413
0.14285714285714285,0.17647058823529413
0.15,0.17647058823529413
0.15789473684210525,0.17647058823529413
0.1111111111111111,0.11764705882352941
0.11764705882352941,0.11764705882352941
0.125,0.11764705882352941
0.13333333333333333,0.11764705882352941
0.07142857142857142,0.058823529411764705
0.07692307692307693,0.058823529411764705
0.08333333333333333,0.058823529411764705
0.09090909090909091,0.058823529411764705
0.1,0.058823529411764705
0.1111111111111111,0.058823529411764705
0.125,0.058823529411764705
0.14285714285714285,0.058823529411764705
0.16666666666666666,0.058823529411764705
0.2,0.058823529411764705
0.25,0.058823529411764705
0.3333333333333333,0.058823529411764705
0.5,0.058823529411764705
1.0,0.058823529411764705
1.0,0.0
